ID,address,city,country,name,postalCode,state
2846,835 Blue Lakes Blvd N,Twin Falls,US,Cafe Rio,83301,ID
2847,1005 Kings Highway St,Rolla,US,Arby's,65401,MO
2848,166 N 200 E,Roosevelt,US,Arby's,84066,UT
2849,4729 Harrison Blvd,Ogden,US,Carl's Jr.,84403,UT
2850,230 S China Lake Blvd,Ridgecrest,US,Carl's Jr.,93555,CA
2851,500 S Highway 160,Pahrump,US,Carl's Jr.,89048,NV
2852,93 Fair Ln,Placerville,US,Carl's Jr.,95667,CA
2853,437 Old Mammoth Rd,Mammoth Lakes,US,Carl's Jr.,93546,CA
2854,2280 Arden Way,Sacramento,US,Carl's Jr.,95825,CA
2855,2219 S Interstate 35,San Marcos,US,Carl's Jr.,78666,TX
2856,5320 John F Kennedy Blvd,North Little Rock,US,Captain D's,72116,AR
2857,1411 Pine St,Arkadelphia,US,Arby's,71923,AR
2858,1057 W Prospect Rd,Ashtabula,US,Arby's,44004,OH
2859,1411 S Main St,Atmore,US,Arby's,36502,AL
2860,1 Cnn Center,Atlanta,US,Arby's,30303,GA
2861,406 Southbridge St,Auburn,US,Arby's,1501,MA
2862,309 Route 315 Hwy,Pittston,US,Arby's,18640-3907,PA
2863,315 S Mill St,Pryor,US,Arby's,74361,OK
2864,7355 W Colfax Ave #102,Denver,US,Jimmy John's,80214,CO
2865,1999 E Fry Blvd,Sierra Vista,US,Arby's,85635,AZ
2866,829 Old Post Rd,Sidney,US,Arby's,69162,NE
2867,109 E Bert Kouns,Shreveport,US,Arby's,71106,LA
2868,711 Highway 71 W,Bastrop,US,Carl's Jr,78602,TX
2869,1149 E Atlantic St,South Hill,US,Arby's,23970,VA
2870,908 S Thompson St,Springdale,US,Arby's,72764,AR
2871,611 N 10th Ave,Caldwell,US,Carl's Jr.,83605,ID
2872,306 N Nevada Ave,Colorado Springs,US,Carl's Jr.,80903,CO
2873,1565 Gateway Blvd.,Cottage Grove,US,Carl's Jr.,97424,OR
2874,1391 University Ave S,Fairbanks,US,Carl's Jr,99709,AK
2875,2350 2nd Ave SE,Cambridge,US,Arby's,55008,MN
2876,300 South Blvd,Brewton,US,Arby's,36426,AL
2877,105 N Walton Ave,Benson,US,Char-Grill,27504,NC
2878,747 Nebraska Ave,Lompoc,US,Burger King,93437,CA
2879,2905 Northtowne Ln Ste 120,Reno,US,Quiznos,89512,NV
2880,13366 Lincoln Way,Auburn,US,KFC,95603,CA
2881,1803 Santa Rita Rd 299,Pleasanton,US,KFC,94566,CA
2882,5700 Denton Hwy,Fort Worth,US,Crispy Chicken & Seafood,76148,TX
2883,1604 N State St,Greenfield,US,KFC,46140,IN
2884,35 E 96th St,Indianapolis,US,Arby's,46240,IN
2885,8829 S 180th St,Kent,US,Jack in the Box,98032,WA
2886,3601 4th St NW,Albuquerque,US,Wendy's,87107,NM
2887,1 Willowdale Dr,Frederick,US,KFC,21702,MD
2888,4025 Holcomb Bridge Rd,Norcross,US,KFC,30092,GA
2889,325 W IL Route 173,Antioch,US,KFC,60002,IL
2890,8251 Central Ave,Capitol Heights,US,Taco Bell,20743,MD
2891,116 N Larkin Ave,Joliet,US,KFC,60435,IL
2892,9564 Quivira Rd,Lenexa,US,KFC,66215,KS
2893,15869 Fountain Plaza Dr,Chesterfield,US,Five Guys,63017,MO
2894,3821 Tower Avenue,Superior,US,Arby's,54880,WI
2895,12945 Rolling Ridge Road,Becker,US,McDonalds,55308,MN
2896,1209 Leonard St NW,Grand Rapids,US,Burger King,49504,MI
2897,1215 Gun Club Rd,Saint Paul,US,Burger King,55110,MN
2898,647 W Main St,Anoka,US,Taco Bell,55303,MN
2899,202 6th Ave S,Saint Cloud,US,Toppers Pizza,56301,MN
2900,4872 County Road 77,Nisswa,US,Wendy's,56468,MN
2901,630 Cahaba Valley Rd,Pelham,US,KFC,35124,AL
2902,579 Cahaba Valley Rd,Pelham,US,Wendy's,35124,AL
2903,600 Martin St N,Pell City,US,McDonald's,35125,AL
2904,7520 Southgate Blvd,Pompano Beach,US,McDonald's,33068,FL
2905,1241 Kalahari Dr,Baraboo,US,Jimmy John's,53913,WI
2906,1731 Montgomery Hwy,Birmingham,US,McDonalds,35244,AL
2907,611 Martin St N,Pell City,US,Taco Bell,35125,AL
2908,6550 Grand Ave,Gurnee,US,Chick-fil-A,60031,IL
2909,160 Vaughn Lane,Pell City,US,Arby's,35125,AL
2910,1310 Brady St,Chesaning,US,Burger King,48616,MI
2911,198 E Meighan Blvd,Gadsden,US,Arby's,35903,AL
2912,20704 Highway 365 N,Maumelle,US,KFC,72113,AR
2913,5741 Coral Ridge Dr,Pompano Beach,US,McDonald's,33076,FL
2914,720 E Front St,Traverse City,US,KFC,49686,MI
2915,4550 E McCain Blvd,North Little Rock,US,Rally's,72117,AR
2916,920 US Highway 31 S,Traverse City,US,Burger King,49685,MI
2917,2504 N US Highway 31 N,Traverse City,US,Burger King,49686,MI
2918,1054 E Front St,Traverse City,US,Burger King,49686,MI
2919,1810 S. Saginaw Road,Midland,US,Taco Bell,48640,MI
2920,6475 Gateway Road,Columbus,US,Mcdonald's,31909,GA
2921,2190 Holton Rd,Muskegon,US,Burger King,49445,MI
2922,1436 E Apple Ave,Muskegon,US,Burger King,49442,MI
2923,1815 E Sternberg Rd,Muskegon,US,Burger King,49444,MI
2924,3436 Henry St,Muskegon,US,Burger King,49441,MI
2925,816 E Front St,Traverse City,US,Taco Bell,49686,MI
2926,815 W Hallandale Beach Blvd,Hallandale,US,KFC,33009,FL
2927,3818 State Highway 119,Longmont,US,Taco Bell,80501,CO
2928,2312 Trustar Avenue NW,Bemidji,US,Arby's,56601,MN
2929,1000 Paul Bunyan Dr NW,Bemidji,US,Jimmy John's,56601,MN
2930,6675 E Grant Rd,Tucson,US,Chick-fil-A,85715,AZ
2931,6038 Memorial Dr,Stone Mountain,US,Burger King,30083,GA
2932,1680 Commerce Dr,Mankato,US,Culver's,56003,MN
2933,4537 Chamblee Dunwoody Rd,Atlanta,US,Burger King,30338,GA
2934,1101 S Front St,Mankato,US,Topper's Pizza,56001,MN
2935,78468 Highway 111,La Quinta,US,Del Taco,92253,CA
2936,34540 Monterey Ave,Palm Desert,US,Del Taco,92211,CA
2937,6150 Oxon Hill Rd,Oxon Hill,US,Burger King,20745,MD
2938,83131 Avenue 48,Coachella,US,McDonalds,92236,CA
2939,8510 Baltimore Ave,College Park,US,Burger King,20740,MD
2940,3052 Plank Rd,Fredericksburg,US,Burger King,22401,VA
2941,720 Maiden Lane,Joplin,US,SONIC Drive In,64804,MO
2942,701 S Maiden Ln,Joplin,US,Wendy's,64801,MO
2943,407a S Range Line Rd,Joplin,US,Jimmy John's,64801,MO
2944,2435 W Main St,Tupelo,US,Wendy's,38801,MS
2945,2465 W Main Street,Tupelo,US,McDonald's,38801,MS
2946,2615 West Main St,Tupelo,US,Krystal,38801,MS
2947,123 Arnold Crossroads Center,Arnold,US,Fazoli's,63010,MO
2948,28155 Harper Ave,Saint Clair Shores,US,KFC,48081,MI
2949,8710 Veterans Memorial Pkwy,O Fallon,US,Lion's Choice,63366,MO
2950,12345 College Blvd SC110,Overland Park,US,Chick-fil-A,66210,KS
2951,39462 Trade Center Dr,Palmdale,US,Popeyes Chicken & Biscuits,93551,CA
2952,3536 Country Club Dr,Jefferson City,US,Wendy's,65109,MO
2953,2815 S Ten Mile Dr,Jefferson City,US,Arby's,65109,MO
2954,25 Westport Plaza Drive,Saint Louis,US,McDonald's,63146,MO
2955,1003 N Hwy 47,Warrenton,US,McDonald's,63383,MO
2956,2565 S Springfield Ave,Bolivar,US,Kum & Go,65613,MO
2957,2935 E Sunshine St,Springfield,US,SONIC Drive In,65804,MO
2958,1001 Belt Line Rd,Collinsville,US,Taco Bell,62234,IL
2959,1352 S 5th St,Saint Charles,US,Subway,63301,MO
2960,108 S Buchanan St,Edwardsville,US,Subway,62025,IL
2961,1 Harmar Landing Dr,Pittsburgh,US,KFC,15238,PA
2962,1003 Us Highway 301 S,Jacksonville,US,McDonald's,32234,FL
2963,911 S State St,Jerseyville,US,McDonald's,62052,IL
2964,2 Plaza Drive,Bethalto,US,McDonald's,62010,IL
2965,5330 W 72nd Ave,Arvada,US,Culver's,80003,CO
2966,601 S College Rd,Wilmington,US,Chick-Fil-A,28403,NC
2967,101 Village Rd NE,Leland,US,Hardee's,28451,NC
